Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Average,AngryTweetsClassification,DKHateClassification,DanishPoliticalCommentsClassification,LccSentimentClassification,MassiveIntentClassification (da),MassiveScenarioClassification (da),NordicLangClassification,ScalaDaClassification,Subset,Task category
1,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/chcaa/dfm-encoder-large-v1"">dfm-sentence-encoder-large-1</a>",355.0,1.32,61.62,54.42,63.19,37.76,58.07,65.83,71.61,75.98,66.09,da,Classification
2,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-large"">multilingual-e5-large</a>",560.0,2.09,59.94,54.95,66.02,38.27,59.6,60.16,67.46,82.29,50.77,da,Classification
3,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/chcaa/dfm-encoder-large-v1"">dfm-encoder-large-v1</a>",355.0,1.32,59.16,53.8,60.09,36.6,57.33,60.55,64.16,77.68,63.08,da,Classification
4,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/NbAiLab/nb-bert-large"">nb-bert-large</a>",355.0,1.32,58.9,52.14,62.13,35.04,56.27,57.03,60.43,85.27,62.85,da,Classification
5,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-base"">multilingual-e5-base</a>",278.0,1.04,58.61,54.65,63.53,36.69,59.67,60.16,67.46,75.94,50.79,da,Classification
6,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/vesteinn/DanskBERT"">DanskBERT</a>",125.0,0.47,58.31,54.28,59.3,39.81,58.0,54.68,59.56,74.25,66.59,da,Classification
7,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/NbAiLab/nb-bert-base"">nb-bert-base</a>",179.0,0.67,57.68,52.14,61.73,34.84,51.4,56.69,61.93,84.69,57.99,da,Classification
8,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ltg/norbert3-base"">norbert3-base</a>",131.0,0.49,56.34,52.48,58.78,34.14,54.07,53.16,57.17,82.67,58.25,da,Classification
9,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-small"">multilingual-e5-small</a>",118.0,0.44,56.12,53.57,60.73,34.38,57.87,54.63,62.34,75.15,50.3,da,Classification
10,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/facebook/SONAR"">SONAR</a>",,,55.03,49.62,69.97,37.59,54.27,62.03,67.76,48.4,50.63,da,Classification
11,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ltg/norbert3-large"">norbert3-large</a>",368.0,1.37,54.21,49.04,62.71,33.53,46.93,45.98,50.51,84.25,60.72,da,Classification
12,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/xlm-roberta-base"">xlm-roberta-base</a>",279.0,1.04,52.14,52.41,56.78,34.03,52.27,41.06,43.91,79.39,57.3,da,Classification
13,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-large"">e5-large</a>",335.0,1.25,47.39,46.14,58.72,28.67,42.13,42.29,52.95,58.3,49.9,da,Classification
14,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-base"">e5-base</a>",110.0,0.41,47.02,45.06,58.51,28.43,37.47,44.25,52.99,59.34,50.08,da,Classification
15,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/KBLab/sentence-bert-swedish-cased"">sentence-bert-swedish-cased</a>",125.0,0.47,46.67,44.46,59.36,28.32,47.2,42.84,49.64,51.45,50.12,da,Classification
16,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jonfd/electra-small-nordic"">electra-small-nordic</a>",23.0,0.09,46.33,47.91,59.45,31.89,47.93,26.3,28.93,57.82,70.41,da,Classification
17,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-small"">e5-small</a>",33.0,0.12,45.66,43.6,57.57,28.37,40.27,41.89,49.93,53.47,50.15,da,Classification
18,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/KB/bert-base-swedish-cased"">bert-base-swedish-cased</a>",125.0,0.47,45.58,44.58,55.53,28.97,41.2,37.98,40.44,62.45,53.53,da,Classification
19,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2"">all-MiniLM-L6-v2</a>",23.0,0.09,44.46,42.49,55.05,26.96,38.47,40.99,47.01,54.71,50.03,da,Classification
20,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/KBLab/electra-small-swedish-cased-discriminator"">electra-small-swedish-cased-discriminator</a>",16.0,0.06,33.61,40.52,52.28,25.17,36.67,6.51,11.5,44.53,51.66,da,Classification
21,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://github.com/facebookresearch/LASER"">LASER2</a>",43.0,0.16,,,,,,45.61,54.87,,,da,Classification
22,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ClayAtlas/winberta-base"">winberta-base</a>",,,,46.17,55.9,28.33,42.27,40.37,49.35,,50.11,da,Classification
23,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ClayAtlas/winberta-large"">winberta-large</a>",,,,,,,,31.47,39.79,,,da,Classification
24,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ClayAtlas/windberta-large"">windberta-large</a>",,,,,,,,35.53,42.65,,,da,Classification
25,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Jechto/e5-dansk-test-0.1"">e5-dansk-test-0.1</a>",560.0,2.09,,56.08,,40.88,59.6,,,61.0,50.43,da,Classification
26,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Kenknight1999/test_ver_2"">test_ver_2</a>",560.0,2.09,,,,,,69.46,75.06,,,da,Classification
27,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Kenknight1999/tungdd7_ft_e5"">tungdd7_ft_e5</a>",560.0,2.09,,,,,,69.46,75.06,,,da,Classification
28,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-125M-weightedmean-msmarco-specb-bitfit"">SGPT-125M-weightedmean-msmarco-specb-bitfit</a>",138.0,0.51,,,,,,44.18,45.44,,,da,Classification
29,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-125M-weightedmean-nli-bitfit"">SGPT-125M-weightedmean-nli-bitfit</a>",138.0,0.51,,,,,,43.56,44.75,,,da,Classification
30,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/amazon/Titan-text-embeddings-v2"">Titan-text-embeddings-v2</a>",,,,,,,,55.06,64.26,,,da,Classification
31,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/bigscience/sgpt-bloom-7b1-msmarco"">sgpt-bloom-7b1-msmarco</a>",7068.0,26.33,,,,,,51.23,53.52,,,da,Classification
32,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-mistral-7b-instruct"">e5-mistral-7b-instruct</a>",7111.0,26.49,,,,,,72.53,76.76,,,da,Classification
33,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-large-instruct"">multilingual-e5-large-instruct</a>",560.0,2.09,,,,,,71.81,77.61,,,da,Classification
34,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-1b1"">udever-bloom-1b1</a>",1065.0,3.97,,,,,,49.54,52.53,,,da,Classification
35,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-560m"">udever-bloom-560m</a>",559.0,2.08,,,,,,46.93,49.11,,,da,Classification
36,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/LaBSE"">LaBSE</a>",471.0,1.75,,,,,,58.25,65.24,,,da,Classification
37,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/all-MiniLM-L12-v2"">all-MiniLM-L12-v2</a>",33.0,0.12,,,,,,44.43,49.47,,,da,Classification
38,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/allenai-specter"">allenai-specter</a>",110.0,0.41,,,,,,38.47,39.93,,,da,Classification
39,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/distiluse-base-multilingual-cased-v2"">distiluse-base-multilingual-cased-v2</a>",135.0,0.5,,,,,,52.33,62.55,,,da,Classification
40,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/gtr-t5-large"">gtr-t5-large</a>",168.0,0.63,,,,,,45.3,54.88,,,da,Classification
41,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/gtr-t5-xl"">gtr-t5-xl</a>",1240.0,4.62,,,,,,48.42,57.28,,,da,Classification
42,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-base"">sentence-t5-base</a>",110.0,0.41,,,,,,38.82,48.36,,,da,Classification
43,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-large"">sentence-t5-large</a>",168.0,0.63,,,,,,41.76,51.44,,,da,Classification
44,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-xl"">sentence-t5-xl</a>",1240.0,4.62,,,,,,47.69,55.79,,,da,Classification
45,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/shibing624/text2vec-base-multilingual"">text2vec-base-multilingual</a>",118.0,0.44,,,,,,56.74,63.07,,,da,Classification
